year,cluster,ref_cluster,predictor,coef,OR,CI_lo,CI_hi,p_value
2015,0,2,age,0.2818,1.3256,,,
2015,0,2,parity,-0.5162,0.5968,,,
2015,0,2,married,-0.0509,0.9503,,,
2015,0,2,distance_problem,-0.0215,0.9788,,,
2015,0,2,region,-0.1108,0.8951,,,
2015,0,2,residence_Rural,-0.0539,0.9475,,,
2015,0,2,residence_Urban,0.0539,1.0554,,,
2015,0,2,wealth_quintile_Middle,-0.0426,0.9583,,,
2015,0,2,wealth_quintile_Poorer,-0.0607,0.9411,,,
2015,0,2,wealth_quintile_Poorest,-0.0955,0.9089,,,
2015,0,2,wealth_quintile_Richer,0.0781,1.0813,,,
2015,0,2,wealth_quintile_Richest,0.1258,1.1341,,,
2015,0,2,education_Higher,0.0661,1.0683,,,
2015,0,2,education_No education,-0.0637,0.9383,,,
2015,0,2,education_Primary,-0.0255,0.9749,,,
2015,0,2,education_Secondary,0.0575,1.0592,,,
2015,1,2,age,-0.1663,0.8468,,,
2015,1,2,parity,0.3211,1.3786,,,
2015,1,2,married,-0.0366,0.9641,,,
2015,1,2,distance_problem,0.1195,1.127,,,
2015,1,2,region,-0.0023,0.9977,,,
2015,1,2,residence_Rural,0.0439,1.0449,,,
2015,1,2,residence_Urban,-0.0439,0.9571,,,
2015,1,2,wealth_quintile_Middle,0.0257,1.026,,,
2015,1,2,wealth_quintile_Poorer,0.0368,1.0375,,,
2015,1,2,wealth_quintile_Poorest,0.0819,1.0853,,,
2015,1,2,wealth_quintile_Richer,-0.0417,0.9592,,,
2015,1,2,wealth_quintile_Richest,-0.1065,0.899,,,
2015,1,2,education_Higher,-0.0894,0.9144,,,
2015,1,2,education_No education,0.0823,1.0857,,,
2015,1,2,education_Primary,0.0376,1.0383,,,
2015,1,2,education_Secondary,-0.0785,0.9245,,,
2015,3,2,age,-0.0079,0.9921,,,
2015,3,2,parity,0.0623,1.0643,,,
2015,3,2,married,0.072,1.0747,,,
2015,3,2,distance_problem,-0.0525,0.9489,,,
2015,3,2,region,0.0648,1.067,,,
2015,3,2,residence_Rural,0.024,1.0243,,,
2015,3,2,residence_Urban,-0.024,0.9762,,,
2015,3,2,wealth_quintile_Middle,-0.0032,0.9968,,,
2015,3,2,wealth_quintile_Poorer,0.0108,1.0108,,,
2015,3,2,wealth_quintile_Poorest,-0.0129,0.9871,,,
2015,3,2,wealth_quintile_Richer,-0.0218,0.9784,,,
2015,3,2,wealth_quintile_Richest,0.0273,1.0277,,,
2015,3,2,education_Higher,0.04,1.0408,,,
2015,3,2,education_No education,-0.0189,0.9813,,,
2015,3,2,education_Primary,0.0037,1.0037,,,
2015,3,2,education_Secondary,-0.0028,0.9972,,,
