year,cluster,ref_cluster,predictor,coef,OR,CI_lo,CI_hi,p_value
2015,0,2,age,0.0561,1.0577,1.0385,1.0773,0.0
2015,0,2,parity,-0.3096,0.7337,0.6824,0.7889,0.0
2015,0,2,married,-0.1598,0.8523,0.7253,1.0017,0.05241
2015,0,2,distance_problem,0.0497,1.051,0.9035,1.2225,0.51938
2015,0,2,region,-0.2078,0.8123,0.7425,0.8888,1e-05
2015,0,2,residence_Urban,0.2116,1.2357,1.0191,1.4982,0.03136
2015,0,2,wealth_quintile_Middle,0.1412,1.1517,0.8821,1.5036,0.29929
2015,0,2,wealth_quintile_Poorer,0.1173,1.1245,0.8628,1.4654,0.38528
2015,0,2,wealth_quintile_Richer,0.5341,1.706,1.3284,2.1908,3e-05
2015,0,2,wealth_quintile_Richest,0.7352,2.086,1.5813,2.7518,0.0
2015,0,2,education_Higher,0.8117,2.2517,1.4056,3.6071,0.00074
2015,0,2,education_Primary,0.1802,1.1975,0.8869,1.6168,0.2395
2015,0,2,education_Secondary,0.281,1.3244,0.9512,1.8441,0.09617
2015,1,2,age,-0.0086,0.9914,0.9752,1.008,0.30845
2015,1,2,parity,0.0905,1.0947,1.0372,1.1553,0.001
2015,1,2,married,-0.1226,0.8846,0.7644,1.0238,0.10004
2015,1,2,distance_problem,0.3296,1.3905,1.2152,1.5911,0.0
2015,1,2,region,-0.0668,0.9354,0.8589,1.0186,0.12449
2015,1,2,residence_Urban,-0.3067,0.7359,0.5755,0.941,0.01449
2015,1,2,wealth_quintile_Middle,-0.1229,0.8843,0.7352,1.0637,0.19193
2015,1,2,wealth_quintile_Poorer,-0.0774,0.9255,0.7748,1.1056,0.39347
2015,1,2,wealth_quintile_Richer,-0.2059,0.8139,0.6669,0.9934,0.04284
2015,1,2,wealth_quintile_Richest,-0.2952,0.7444,0.5697,0.9726,0.03049
2015,1,2,education_Higher,-0.7435,0.4754,0.187,1.2088,0.11836
2015,1,2,education_Primary,-0.1406,0.8689,0.7243,1.0423,0.13017
2015,1,2,education_Secondary,-0.4968,0.6085,0.4687,0.7899,0.00019
2015,3,2,age,0.0143,1.0144,1.0033,1.0257,0.0111
2015,3,2,parity,-0.0337,0.9668,0.9307,1.0044,0.08273
2015,3,2,married,0.1341,1.1436,1.0324,1.2666,0.01011
2015,3,2,distance_problem,-0.0135,0.9866,0.904,1.0767,0.76207
2015,3,2,region,0.0215,1.0217,0.9664,1.0802,0.44961
2015,3,2,residence_Urban,-0.2011,0.8179,0.7139,0.9369,0.00374
2015,3,2,wealth_quintile_Middle,0.0383,1.0391,0.9094,1.1873,0.57304
2015,3,2,wealth_quintile_Poorer,0.0914,1.0957,0.9629,1.2469,0.1656
2015,3,2,wealth_quintile_Richer,0.0788,1.082,0.9435,1.2408,0.25959
2015,3,2,wealth_quintile_Richest,0.2839,1.3282,1.1293,1.5622,0.00061
2015,3,2,education_Higher,0.48,1.616,1.1438,2.2833,0.0065
2015,3,2,education_Primary,0.1008,1.106,0.9617,1.272,0.15779
2015,3,2,education_Secondary,-0.0057,0.9943,0.8358,1.1829,0.94881
2024,0,2,age,0.0151,1.0152,1.0012,1.0295,0.03361
2024,0,2,parity,-0.092,0.9121,0.8628,0.9642,0.00116
2024,0,2,married,0.1982,1.2192,1.0935,1.3593,0.00036
2024,0,2,distance_problem,0.029,1.0294,0.927,1.1432,0.58739
2024,0,2,region,0.0562,1.0578,0.9921,1.1278,0.08593
2024,0,2,residence_Urban,0.0156,1.0157,0.8671,1.1898,0.84673
2024,0,2,wealth_quintile_Middle,0.0435,1.0445,0.8922,1.2227,0.58831
2024,0,2,wealth_quintile_Poorer,0.0149,1.015,0.8674,1.1876,0.85283
2024,0,2,wealth_quintile_Richer,-0.011,0.989,0.8424,1.1613,0.89304
2024,0,2,wealth_quintile_Richest,0.1801,1.1973,0.9882,1.4507,0.06595
2024,0,2,education_Higher,0.8498,2.3392,1.5291,3.5784,9e-05
2024,0,2,education_Primary,0.1251,1.1332,0.9026,1.4228,0.28142
2024,0,2,education_Secondary,0.1571,1.1701,0.9096,1.5052,0.2214
2024,1,2,age,-0.0023,0.9977,0.9678,1.0285,0.88144
2024,1,2,parity,0.086,1.0898,0.9748,1.2184,0.13054
2024,1,2,married,0.1887,1.2076,0.9386,1.5538,0.14233
2024,1,2,distance_problem,-0.1138,0.8925,0.7027,1.1334,0.35093
2024,1,2,region,-0.0042,0.9958,0.8587,1.1547,0.95547
2024,1,2,residence_Urban,-0.2777,0.7575,0.5025,1.142,0.18482
2024,1,2,wealth_quintile_Middle,-0.2876,0.7501,0.526,1.0696,0.11222
2024,1,2,wealth_quintile_Poorer,0.0467,1.0478,0.7601,1.4443,0.77564
2024,1,2,wealth_quintile_Richer,-0.2437,0.7837,0.548,1.1207,0.18174
2024,1,2,wealth_quintile_Richest,-0.2262,0.7976,0.5064,1.2561,0.32908
2024,1,2,education_Higher,0.1016,1.1069,0.3818,3.2094,0.85167
2024,1,2,education_Primary,-0.2929,0.7461,0.4942,1.1265,0.16357
2024,1,2,education_Secondary,-0.1971,0.8211,0.5039,1.338,0.42885
